	TCR_401AB	TCR_403A	TCR_403B	TCR_464A	TCR_471A	TCR_663	TCR_668	TCR_669	TCR_672
clonotype321	1	1	1	1	1	1	1	1	1
clonotype322	1	1	1	1	1	1	1	1	1
clonotype323	1	1	1	1	1	1	1	1	1
clonotype324	1	1	1	1	1	1	1	1	1
clonotype325	1	1	1	1	1	1	1	1	1
clonotype326	1	1	1	1	1	1	1	1	1
clonotype327	1	1	1	1	1	1	1	1	1
clonotype328	1	1	1	1	1	1	1	1	1
clonotype329	1	1	1	1	1	1	1	1	1
clonotype330	1	1	1	1	1	1	0	1	1
clonotype331	1	1	1	1	1	1	1	1	1
clonotype332	1	1	1	1	1	1	1	1	1
clonotype333	1	1	1	1	1	1	1	1	1
clonotype334	1	1	1	1	1	1	1	1	1
clonotype335	1	1	1	1	1	1	1	1	1
clonotype336	1	1	1	1	1	1	1	1	1
clonotype337	1	1	1	1	1	1	1	1	1
clonotype338	1	1	1	1	1	1	1	1	1
clonotype339	1	1	1	1	1	1	1	1	1
clonotype340	1	1	1	1	1	1	1	1	1
clonotype341	1	1	1	1	1	1	1	1	1
clonotype342	1	1	1	1	1	1	1	1	1
clonotype343	1	1	1	1	1	1	1	1	1
clonotype344	1	1	1	1	1	1	1	1	1
clonotype345	1	1	1	1	1	1	1	1	0
clonotype346	1	1	1	1	1	1	1	0	1
clonotype347	1	1	1	1	1	1	1	1	1
clonotype348	1	1	1	1	1	1	1	1	1
clonotype349	1	1	1	1	1	1	1	1	1
clonotype350	1	1	1	1	1	1	1	1	1
clonotype351	1	1	1	1	1	1	1	1	1
clonotype352	1	1	1	1	1	1	1	1	1
clonotype353	1	1	1	1	1	1	1	1	1
clonotype354	1	1	1	1	1	1	1	1	1
clonotype355	1	1	1	1	1	1	1	1	1
clonotype356	1	1	1	1	1	1	1	1	1
clonotype357	1	1	1	1	1	1	1	1	1
clonotype358	1	1	1	1	1	1	1	1	1
clonotype359	1	1	1	1	1	1	1	1	1
clonotype360	1	1	1	1	1	1	1	1	1
clonotype361	1	1	1	1	1	1	1	1	1
clonotype362	1	1	1	1	1	1	1	1	1
clonotype363	1	1	1	1	1	1	1	1	1
clonotype364	1	1	1	1	1	1	1	1	1
clonotype365	1	1	1	1	1	1	1	1	1
clonotype366	1	1	1	1	1	1	0	1	1
clonotype367	1	1	0	1	1	1	1	1	1
clonotype368	1	1	0	1	1	1	1	1	1
clonotype369	1	1	0	1	1	1	1	0	1
clonotype370	1	1	0	1	1	1	1	1	1
clonotype371	1	1	0	1	1	1	1	1	1
clonotype372	1	1	0	1	1	1	1	1	1
clonotype373	1	1	0	1	1	1	1	1	1
clonotype374	1	1	0	1	1	1	1	1	1
clonotype375	1	1	0	1	1	1	1	1	1
clonotype376	1	1	0	1	1	1	1	1	1
clonotype377	1	1	0	1	1	1	1	1	1
clonotype378	1	1	0	1	1	1	1	1	1
clonotype379	1	1	0	1	1	1	1	1	1
clonotype380	1	1	0	1	1	1	1	1	1
clonotype381	1	1	0	1	1	1	1	1	1
clonotype382	1	1	0	1	1	1	1	1	1
clonotype383	1	1	0	1	1	1	1	1	1
clonotype384	1	1	0	1	1	1	1	1	1
clonotype385	1	1	0	1	1	1	1	1	1
clonotype386	1	1	0	1	1	1	1	1	1
clonotype387	1	1	0	1	1	1	1	1	1
clonotype388	1	1	0	1	1	1	1	1	1
clonotype389	1	1	0	1	1	1	1	1	1
clonotype390	1	1	0	1	1	1	1	1	1
clonotype391	1	1	0	1	1	1	1	1	1
clonotype392	1	1	0	1	1	1	1	1	1
clonotype393	1	1	0	1	1	1	1	1	1
clonotype394	1	1	0	1	1	1	1	1	1
clonotype395	1	1	0	1	1	1	1	1	1
clonotype396	1	1	0	0	1	1	1	1	1
clonotype397	1	1	0	0	1	1	1	1	1
clonotype398	1	1	0	0	1	1	1	1	1
clonotype399	1	1	0	0	1	1	1	1	1
clonotype400	1	1	0	0	1	1	1	1	1
clonotype401	1	1	0	0	1	1	1	1	1
clonotype402	1	1	0	0	1	1	1	1	1
clonotype403	1	1	0	0	1	1	1	1	1
clonotype404	1	1	0	0	1	1	1	1	1
clonotype405	1	1	0	0	1	1	1	1	1
clonotype406	1	1	0	0	1	1	1	1	1
clonotype407	1	1	0	0	1	1	1	1	1
clonotype408	1	1	0	0	1	1	1	1	1
clonotype409	1	1	0	0	1	1	1	1	1
clonotype410	1	1	0	0	1	1	1	1	1
clonotype411	1	1	0	0	1	1	1	0	1
clonotype412	1	1	0	0	1	1	1	1	1
clonotype413	1	1	0	0	1	1	1	1	1
clonotype414	1	1	0	0	1	1	1	1	1
clonotype415	1	1	0	0	1	1	1	1	1
clonotype416	1	1	0	0	1	1	1	1	1
clonotype417	1	1	0	0	1	1	1	1	1
clonotype418	1	1	0	0	1	1	1	1	1
clonotype419	1	1	0	0	1	1	1	1	0
clonotype420	1	1	0	0	1	1	1	1	1
clonotype421	1	1	0	0	1	1	1	1	1
clonotype422	1	1	0	0	1	1	1	1	1
clonotype423	1	1	0	0	1	1	1	1	1
clonotype424	1	1	0	0	1	1	1	1	1
clonotype425	1	1	0	0	1	1	1	1	1
clonotype426	1	1	0	0	1	1	1	1	1
clonotype427	1	1	0	0	1	1	1	1	1
clonotype428	1	1	0	0	1	1	1	1	1
clonotype429	1	1	0	0	1	1	1	1	1
clonotype430	1	1	0	0	1	1	1	1	1
clonotype431	1	1	0	0	1	1	1	1	1
clonotype432	1	1	0	0	1	1	1	1	1
clonotype433	1	1	0	0	1	1	1	1	1
clonotype434	1	1	0	0	1	1	1	1	1
clonotype435	1	1	0	0	1	1	1	1	1
clonotype436	1	1	0	0	1	1	1	1	1
clonotype437	1	1	0	0	1	1	1	1	1
clonotype438	1	1	0	0	1	1	1	1	1
clonotype439	1	1	0	0	1	1	1	1	1
clonotype440	1	1	0	0	1	1	1	1	1
clonotype441	1	1	0	0	1	1	1	1	1
clonotype442	1	1	0	0	1	1	1	1	1
clonotype443	1	1	0	0	1	1	1	1	1
clonotype444	1	1	0	0	1	1	1	1	1
clonotype445	1	1	0	0	1	1	1	1	1
clonotype446	1	1	0	0	1	1	1	1	1
clonotype447	1	1	0	0	1	1	1	1	1
clonotype448	1	1	0	0	1	1	1	1	1
clonotype449	1	1	0	0	1	1	1	1	1
clonotype450	1	1	0	0	1	1	1	1	1
clonotype451	1	1	0	0	1	1	1	1	1
clonotype452	1	1	0	0	1	1	1	1	1
clonotype453	1	1	0	0	1	1	1	1	1
clonotype454	1	1	0	0	1	1	1	1	1
clonotype455	1	1	0	0	1	1	1	1	1
clonotype456	1	1	0	0	1	1	1	1	1
clonotype457	1	1	0	0	1	1	1	1	1
clonotype458	1	1	0	0	1	1	1	1	1
clonotype459	1	1	0	0	1	1	1	1	1
clonotype460	1	1	0	0	1	1	1	1	1
clonotype461	1	1	0	0	1	1	1	1	1
clonotype462	1	1	0	0	1	1	1	1	1
clonotype463	1	1	0	0	1	1	1	1	0
clonotype464	1	1	0	0	1	1	1	1	1
